19300517,141,51,BRO,6,003030000,26,0,PHI,14,04140113x,23,0
19300517,117,51,CIN,5,001101020,26,0,PIT,7,20011003x,25,0
19300518,114,54,NYA,11,112410200,25,0,BOS,0,000000000,28,0
19300518,126,54,CLE,7,011110201,27,1,CHA,4,002020000,25,0
19300518,102,54,PHA,1,000001000,28,1,WS1,0,000000000,30,0
19300518,102,51,PHI,0,000000000,24,0,BRO,3,10011000x,27,1
19300518,142,51,PHI,5,001020020,25,0,BRO,7,10510000x,28,0
19300518,99,54,PIT,2,001010000,26,0,CIN,1,010000000,27,1
19300518,120,54,BSN,4,000100102,26,0,NY1,1,001000000,26,2
19300518,140,65,BSN,2,00000001100,27,0,NY1,3,00020000001,27,1
19300518,134,54,CHN,9,000002232,30,0,SLN,6,002000040,28,0
19300518,124,51,CHN,2,100000100,31,0,SLN,8,00043001x,29,0
19300519,134,59,SLA,4,0031000000,27,0,DET,5,0000000401,30,1
19300519,110,51,SLA,2,000001001,28,0,DET,4,00300100x,31,0
19300520,138,60,NYA,7,0220000003,26,0,BOS,4,0310000000,29,0
19300520,133,54,CLE,7,031010011,28,1,CHA,3,100100100,26,1
19300520,124,54,CLE,7,011013100,29,0,CHA,5,101001020,27,1
19300520,120,54,SLA,8,000100502,29,1,DET,2,000010001,32,2
19300520,104,54,PIT,5,010000022,27,0,CIN,0,000000000,28,0
19300520,123,60,BSN,4,1000010002,28,0,NY1,3,0001000101,28,0
19300520,120,54,BRO,16,111450211,29,1,PHI,9,010042002,26,0
19300520,126,51,CHN,3,010000020,32,0,SLN,16,00500344x,30,1
19300521,100,51,DET,3,000010020,33,0,CHA,9,00002034x,28,1
19300521,120,54,SLA,6,000004110,30,0,CLE,5,000100301,30,2
19300521,161,51,NYA,7,203100010,27,0,PHA,15,00022092x,29,0
19300521,109,51,NYA,1,000000100,28,0,PHA,4,20100001x,30,0
19300521,108,51,BOS,2,100000010,30,0,WS1,10,01211122x,31,0
19300521,103,51,BOS,1,000001000,31,0,WS1,6,01030002x,32,0
19300521,112,54,BRO,12,400004400,30,1,BSN,1,000000010,29,0
19300521,120,51,PHI,4,000130000,27,0,NY1,11,11024003x,29,0
19300521,103,51,CHN,3,000003000,33,0,PIT,10,00131230x,28,0
19300521,93,51,CIN,2,002000000,29,1,SLN,3,00010020x,31,0
19300522,105,54,DET,6,001002030,34,0,CHA,1,010000000,29,0
19300522,106,54,SLA,3,000000300,31,0,CLE,2,000200000,31,0
19300522,110,54,NYA,10,212300002,29,0,PHA,1,000000100,31,0
19300522,180,54,NYA,20,720201215,30,0,PHA,13,014205001,32,0
19300522,95,51,BOS,2,000000002,32,0,WS1,3,00000030x,33,0
19300522,118,51,BOS,1,000100000,33,0,WS1,13,20411410x,34,0
19300522,127,53,BRO,5,100000220,31,0,BSN,6,001010022,30,0
19300522,195,72,PHI,10,022002101002,28,0,NY1,8,011020022000,30,0
19300522,136,54,CHN,12,200002251,34,0,PIT,5,001011020,29,0
19300522,96,51,CIN,2,100100000,30,0,SLN,4,01000021x,32,0
19300523,114,54,SLA,5,100200020,32,1,CLE,4,102010000,32,0
19300523,127,54,BRO,6,000301101,32,1,BSN,3,000003000,31,1
19300523,135,51,NY1,8,000011033,31,0,PHI,9,02010015x,29,0
19300523,134,51,CHN,6,000010023,35,0,PIT,7,21100012x,30,2
19300524,129,51,DET,7,000204001,35,1,CHA,8,11000060x,30,0
19300524,118,51,SLA,2,000001001,33,0,CLE,5,22001000x,33,2
19300524,130,51,PHA,6,102000003,33,0,NYA,10,11215000x,31,0
19300524,127,51,PHA,1,100000000,34,0,NYA,11,10160300x,32,0
19300524,130,66,BRO,5,00100001003,33,1,BSN,2,00000010100,32,0
